No,Chinese,Pinyin,English,Level
4104,渗透,shèn tòu,"osmosis, infiltration, to permeate, to infiltrate",6
4105,神仙,shén xiān,"supernatural being, fairy, elf, immortal",6
4106,呻吟,shēn yín,"to moan, to groan",6
4107,慎重,shèn zhòng,"cautious, careful, prudent",6
4108,盛产,shèng chǎn,"to abound, to teem with",6
4109,牲畜,shēng chù,"livestock, domesticated animals",6
4110,生存,shēng cún,"existence, to exist, to survive",6
4111,胜负,shèng fù,victory or defeat,6
4112,省会,shěng huì,provincial capital,6
4113,生机,shēng jī,"chance of survival, vitality",6
4114,盛开,shèng kāi,to bloom,6
4115,生理,shēng lǐ,physiology,6
4116,声明,shēng míng,"statement, declaration, to state, to declare",6
4117,盛情,shèng qíng,"magnificent hospitality, great kindness",6
4118,声势,shēng shì,momentum,6
4119,生疏,shēng shū,"strange, unfamiliar, out of practice",6
4120,生态,shēng tài,ecology,6
4121,生物,shēng wù,"organism, living thing",6
4122,生效,shēng xiào,"to take effect, to come into effect",6
4123,盛行,shèng xíng,"to prevail, to be in vogue",6
4124,生锈,shēng xiù,"corrosion , to rust, to corrode",6
4125,生育,shēng yù,"to bear, to give birth to, procreate",6
4126,声誉,shēng yù,"reputation, fame",6
4127,拾,shí,"to pick up, 10 (in banks)",6
4128,势必,shì bì,"certainly will, is bound to",6
4129,识别,shí bié,"to identify, to distinguish",6
4130,时差,shí chā,time difference,6
4131,时常,shí cháng,"often, frequently",6
4132,世代,shì dài,"generation, era",6
4133,时而,shí ér,"occasionally, from time to time",6
4134,师范,shī fàn,"teacher training, pedagogical",6
4135,示范,shì fàn,"demonstration, to demonstrate, to show how to do sth.",6
4136,释放,shì fàng,"to release, to set free",6
4137,是非,shì fēi,"quarrel, dispute, right or wrong",6
4138,事故,shì gù,accident,6
4139,时光,shí guāng,"time, days",6
4140,实惠,shí huì,"tangible benefit, material advantage, advantageous",6
4141,时机,shí jī,"moment of opportunity, fortunate timing",6
4142,事迹,shì jì,"deed, achievement",6
4143,施加,shī jiā,to exert (pressure),6
4144,事件,shì jiàn,"event, happening, incident",6
4145,世界观,shì jiè guān,worldview,6
4146,实力,shí lì,strength,6
4147,视力,shì lì,eyesight,6
4148,势力,shì li,"force, power, influence",6
4149,使命,shǐ mìng,"mission, task",6
4150,实施,shí shī,"to carry out, to enforce, to implement",6
4151,时事,shí shì,"current affairs, present situation",6
4152,逝世,shì shì,"to pass away, to die",6
4153,实事求是,shí shì qiú shì,to be practical and realistic,6
4154,事态,shì tài,"situation, state of affairs",6
4155,尸体,shī tǐ,"dead body, cadaver",6
4156,试图,shì tú,"to attempt, to try",6
4157,示威,shì wēi,"demonstration, to demonstrate against",6
4158,失误,shī wù,"lapse, mistake, fault",6
4159,事务,shì wù,"work, routine, affair",6
4160,视线,shì xiàn,line of sight,6
4161,事项,shì xiàng,"matter, item",6
4162,试验,shì yàn,"experiment, to test, to experiment",6
4163,视野,shì yě,field of vision,6
4164,事业,shì yè,"undertaking, career",6
4165,适宜,shì yí,"suitable, appropriate",6
4166,示意,shì yì,"hint, sign, signal, to hint, to signify",6
4167,石油,shí yóu,"oil, petroleum",6
4168,施展,shī zhǎn,"to give full play, to put to good use",6
4169,实质,shí zhì,"essence, substance",6
4170,时装,shí zhuāng,"fashionable dress, latest fashion",6
4171,失踪,shī zōng,"to disappear, to be missing",6
4172,十足,shí zú,"complete, hundred percent, full of",6
4173,收藏,shōu cáng,"to collect, to store up",6
4174,手法,shǒu fǎ,"technique, trick, skill",6
4175,守护,shǒu hù,"to guard, to protect",6
4176,手势,shǒu shì,"gesture, sign, signal",6
4177,收缩,shōu suō,"to shrink, to contract",6
4178,首要,shǒu yào,"most important, chief, principal",6
4179,收益,shōu yì,"profit, income",6
4180,手艺,shǒu yì,"craftsmanship, handicraft",6
4181,收音机,shōu yīn jī,radio,6
4182,授予,shòu yǔ,"to award, to confer, to grant",6
4183,受罪,shòu zuì,"to endure, to suffer, to have a hard time",6
4184,数,shǔ,to count,6
4185,竖,shù,"to erect, to stand, vertical",6
4186,束,shù,"bundle, cluster, to bind, to tie Measure, for a bundle of",6
4187,舒畅,shū chàng,"happy, entirely free from worry",6
4188,数额,shù é,amount,6
4189,书法,shū fǎ,calligraphy,6
4190,束缚,shù fù,"constraint, shackles, to restrict, to bind, to tie down",6
4191,疏忽,shū hu,"negligence, carelessness, to neglect, to omit",6
4192,书籍,shū jí,"books, works, literature",6
4193,书记,shū jì,secretary,6
4194,树立,shù lì,"to set up, to establish",6
4195,书面,shū miàn,"written, in written form",6
4196,数目,shù mù,"number, amount, quantity",6
4197,耍,shuǎ,to play with,6
4198,衰老,shuāi lǎo,"to age, to grow old, old and weak",6
4199,率领,shuài lǐng,"to lead, to command",6
4200,衰退,shuāi tuì,"recession, decline, to decline, to fall",6
4201,涮火锅,shuàn huǒ guō,to eat Hot Pot,6
4202,双胞胎,shuāng bāo tāi,twins,6
4203,爽快,shuǎng kuài,"refreshed, rejuvenated, frank, outright",6
4204,水利,shuǐ lì,"water conservancy, irrigation works",6
4205,水龙头,shuǐ lóng tóu,"faucet, tap",6
4206,水泥,shuǐ ní,cement,6
4207,司法,sī fǎ,"judicature, justice",6
4208,司令,sī lìng,"commander, commanding officer",6
4209,思念,sī niàn,"to miss, to think of, to long for",6
4210,思索,sī suǒ,"to think deeply, to ponder",6
4211,死亡,sǐ wáng,"death, to die",6
4212,思维,sī wéi,"thought, thinking",6
4213,斯文,sī wen,"refined, educated, gentle",6
4214,肆无忌惮,sì wú jì dàn,"unrestrained, without the slightest scruple",6
4215,思绪,sī xù,"train of thought, thinking, feeling",6
4216,饲养,sì yǎng,"to raise, to rear",6
4217,四肢,sì zhī,"arms and legs, four limbs",6
4218,私自,sī zì,"without approval, secretly, privately",6
4219,耸,sǒng,"to shrug, to startle",6
4220,艘,sōu,"Measure, for ships, boats",6
4221,搜索,sōu suǒ,"to search, to look for sth.",6
4222,俗话,sú huà,"proverb, saying",6
4223,素食主义,sù shí zhǔ yì,vegetarianism,6
4224,诉讼,sù sòng,"lawsuit, litigation",6
4225,苏醒,sū xǐng,"to wake up, to regain consciousness",6
4226,塑造,sù zào,"to shape, to mould",6
4227,素质,sù zhì,"quality, basic essence",6
4228,算了,suàn le,forget it!,6
4229,算数,suàn shù,"to count, to hold, to keep one's word, to be valid",6
4230,隧道,suì dào,tunnel,6
4231,随即,suí jí,"immediately, right afterwards",6
4232,随身,suí shēn,to take with one,6
4233,随手,suí shǒu,"conveniently, without extra trouble",6
4234,随意,suí yì,"as one wishes, voluntary, random",6
4235,岁月,suì yuè,years,6
4236,损坏,sǔn huài,"to damage, to break, to spoil",6
4237,索赔,suǒ péi,to claim damages,6
4238,索性,suǒ xìng,"might as well, simply",6
4239,塌,tā,"to collapse, to fall down, to cave in",6
4240,踏实,tā shi,"down-to-earth, anxiety-free",6
4241,泰斗,tài dǒu,"leading authority, magnate",6
4242,台风,tái fēng,"hurricane, typhoon",6
4243,太空,tài kōng,outer space,6
4244,坦白,tǎn bái,"confession, to confess, to admit, frank, candid",6
4245,探测,tàn cè,"sounding, eploration, to explore, to sound, to probe",6
4246,瘫痪,tān huàn,paralysis,6
4247,贪婪,tān lán,"greed, greedy, avid, grasping",6
4248,叹气,tàn qì,"sigh, to sigh",6
4249,摊儿,tān r,"street vendor, stall, stand",6
4250,探索,tàn suǒ,"to explore, to probe",6
4251,探讨,tàn tǎo,"to investigate, to discuss, to probe into",6
4252,探望,tàn wàng,to visit,6
4253,贪污,tān wū,"corruption, corrupt",6
4254,弹性,tán xìng,elasticity,6
4255,糖葫芦,táng hú lu,sugarcoated haws on a stick,6
4256,倘若,tǎng ruò,"if, in case",6
4257,掏,tāo,"to take out, to fish out",6
4258,陶瓷,táo cí,"ceramics, porcelain",6
4259,讨价还价,tǎo jià huán jià,to bargain,6
4260,淘气,táo qì,naughty,6
4261,淘汰,táo tài,"to eliminate through selection, to wash",6
4262,滔滔不绝,tāo tāo bù jué,talking non-stop,6
4263,特长,tè cháng,"personal strength, speciality",6
4264,特定,tè dìng,"special, specific, particular",6
4265,特色,tè sè,"distinguishing feature, characteristic",6
4266,提拔,tí bá,to select for promotion,6
4267,题材,tí cái,"subject matter, theme",6
4268,提炼,tí liàn,"to extract, to refine",6
4269,体谅,tǐ liàng,"to empathize, to show understanding",6
4270,体面,tǐ miàn,"dignity, face, honourable",6
4271,提示,tí shì,"to prompt, to point out",6
4272,体系,tǐ xì,"system, setup",6
4273,提议,tí yì,"proposal, suggestion, to propose, to suggest",6
4274,舔,tiǎn,to lick,6
4275,天才,tiān cái,"talent, gift, talented, gifted",6
4276,田径,tián jìng,"track and field, athletics",6
4277,天伦之乐,tiān lún zhī lè,family happiness,6
4278,天然气,tiān rán qì,natural gas,6
4279,天生,tiān shēng,"innate, natural",6
4280,天堂,tiān táng,"paradise, heaven",6
4281,天文,tiān wén,astronomy,6
4282,挑拨,tiǎo bō,"to instigate, to stir up trouble, to provoke",6
4283,调和,tiáo hé,"reconciliation, to harmonize, to mediate",6
4284,调剂,tiáo jì,"to adjust, to regulate, to fill a prescription",6
4285,调节,tiáo jié,"to adjust, to regulate, to reconcile",6
4286,调解,tiáo jiě,"to mediate, to conciliate",6
4287,条款,tiáo kuǎn,"clause, article, term",6
4288,条理,tiáo lǐ,"orderliness, method, system",6
4289,调料,tiáo liào,"flavouring, seasoning",6
4290,挑剔,tiāo ti,"picky, fussy",6
4291,挑衅,tiǎo xìn,"provocation, to provoke",6
4292,条约,tiáo yuē,"treaty, pact",6
4293,跳跃,tiào yuè,"to jump, to hop, to skip",6
4294,挺拔,tǐng bá,tall and straight,6
4295,停泊,tíng bó,"to anchor, to berth at",6
4296,停顿,tíng dùn,"pause, halt, to pause, to come to a standstill",6
4297,停滞,tíng zhì,to stagnate,6
4298,亭子,tíng zi,pavilion,6
4299,同胞,tóng bāo,"brother or sister by blood, fellow citizen, compatriot",6
4300,统筹兼顾,tǒng chóu jiān gù,to make a plan taking into account all factors,6
4301,童话,tóng huà,fairy tale,6
4302,通货膨胀,tōng huò péng zhàng,inflation,6
4303,统计,tǒng jì,statistics,6
4304,铜矿,tóng kuàng,copper mine,6
4305,通俗,tōng sú,"popular, understandable",6
4306,统统,tǒng tǒng,"completely, entirely",6
4307,通用,tōng yòng,"commonly used, interchangeable",6
4308,同志,tóng zhì,"comrade, homosexual",6
4309,投机,tóu jī,"to speculate, opportunistic, congenial",6
4310,投票,tóu piào,"poll, to vote",6
4311,投降,tóu xiáng,"surrender, to surrender",6
4312,投掷,tóu zhì,"to throw, to toss",6
4313,秃,tū,"bald, blunt",6
4314,图案,tú àn,"design, pattern",6
4315,徒弟,tú dì,apprentice,6
4316,途径,tú jìng,"way, approach, route",6
4317,涂抹,tú mǒ,"to paint, to smear",6
4318,突破,tū pò,"to break trhough, to make a breakthrough",6
4319,土壤,tǔ rǎng,"soil, earth",6
4320,团结,tuán jié,"rally, to unite, to join forces, to hold a rally",6
4321,团体,tuán tǐ,"group, organization, team",6
4322,团员,tuán yuán,member,6
4323,推测,tuī cè,"speculation, to speculate, to guess, to presume",6
4324,推翻,tuī fān,"to overthrow, to overturn, to reverse, to topple",6
4325,推理,tuī lǐ,"reasoning, inference",6
4326,推论,tuī lùn,"deduction, reasoned conclusion, to infer",6
4327,推销,tuī xiāo,"to market, to sell",6
4328,吞咽,tūn yàn,to swallow,6
4329,妥当,tuǒ dang,"appropriate, proper, suitable",6
4330,脱离,tuō lí,"to break away from, to separate oneself from",6
4331,唾沫,tuò mo,"spittle, saliva",6
4332,妥善,tuǒ shàn,"appropriate, proper, careful",6
4333,妥协,tuǒ xié,"compromise, to comprmise, to reach terms",6
4334,拖延,tuō yán,"adjournment, procrastination, to adjourn, to delay",6
4335,椭圆,tuǒ yuán,"ellipse, oval, elliptic",6
4336,托运,tuō yùn,"to consign (goods), to check (baggage)",6
4337,哇,wa,oh,6
4338,瓦解,wǎ jiě,"collapse, disintegrate",6
4339,挖掘,wā jué,"to dig, to excavate",6
4340,娃娃,wá wa,"baby, small child, doll",6
4341,外表,wài biǎo,appearance,6
4342,外行,wài háng,"amateur, laity, unprofessional",6
4343,外界,wài jiè,the outside world,6
4344,歪曲,wāi qū,"to distort, to misrepresent",6
4345,外向,wài xiàng,extrovert,6
4346,丸,wán,"Measure, for pills, small balls, etc.",6
4347,完备,wán bèi,"complete, perfect, faultless",6
4348,完毕,wán bì,"to complete, to finish",6
4349,万分,wàn fēn,"very much, extremely",6
4350,顽固,wán gù,"stubborn, obstinate",6
4351,挽回,wǎn huí,"to retrieve, to redeem, to save (face)",6
4352,挽救,wǎn jiù,"to save, to rescue",6
4353,玩弄,wán nòng,"to play with, to flirt",6
4354,顽强,wán qiáng,"tenacious, indomitable",6
4355,惋惜,wǎn xī,"to feel sorry for sbd., to sympathize with",6
4356,玩意儿,wán yì r,toy,6
4357,往常,wǎng cháng,as one used to do,6
4358,网络,wǎng luò,"network, internet",6
4359,往事,wǎng shì,"past events, the past",6
4360,妄想,wàng xiǎng,"wishful thinking, a vain hope, delusion, to vainly hope to do sth",6
4361,违背,wéi bèi,"to disobey, to violate, to go against",6
4362,微不足道,wēi bù zú dào,"insignificant, negligible",6
4363,维持,wéi chí,"to keep, to maintain, to preserve",6
4364,唯独,wéi dú,"only, just, alone",6
4365,威风,wēi fēng,"power and prestige, majestic, awe-inspiring",6
4366,微观,wēi guān,microscopic,6
4367,危机,wēi jī,crisis,6
4368,畏惧,wèi jù,"to fear, to dread, to be afraid of",6
4369,胃口,wèi kǒu,appetite,6
4370,威力,wēi lì,"might, formidable power",6
4371,未免,wèi miǎn,"rather, a bit too",6
4372,为难,wéi nán,"to feel embarrassed, to feel awkward",6
4373,为期,wéi qī,be done by a definite date,6
4374,维生素,wéi shēng sù,vitamin,6
4375,为首,wéi shǒu,"to head, to be headed by",6
4376,威望,wēi wàng,prestige,6
4377,慰问,wèi wèn,"consolation, greetings, to express sympathy",6
4378,威信,wēi xìn,"prestige and public reliance (government, etc.)",6
4379,卫星,wèi xīng,satellite,6
4380,维修,wéi xiū,"maintenance, to maintain, to protect",6
4381,位于,wèi yú,"to lie, to be located at",6
4382,委员,wěi yuán,"committee member, commissioner",6
4383,伪造,wěi zào,"to forge, to fake",6
4384,温带,wēn dài,temperate zone,6
4385,温和,wēn hé,"moderate, mild, temperate",6
4386,文凭,wén píng,diploma,6
4387,问世,wèn shì,"to be published, to come out",6
4388,文物,wén wù,cultural relic,6
4389,文献,wén xiàn,"document, literature",6
4390,文雅,wén yǎ,"elegant, refined",6
4391,文艺,wén yì,literature and art,6
4392,窝,wō,"nest Measure, for broods, nests, etc.",6
4393,勿,wù,(do) not,6
4394,无比,wú bǐ,"incomparable, matchless",6
4395,务必,wù bì,"to be sure to, must",6
4396,误差,wù chā,"difference, error, inaccuracy (in easuring)",6
4397,无偿,wú cháng,"free, free of charge",6
4398,无耻,wú chǐ,"shameless, infamous, dishonorable",6
4399,无从,wú cóng,"to have no way of doing sth., to not to be in a position to do sth.",6
4400,舞蹈,wǔ dǎo,dance,6
4401,无动于衷,wú dòng yú zhōng,"aloof, indifferent, unconcerned",6
4402,无非,wú fēi,"nothing but, only, simply",6
4403,乌黑,wū hēi,jet-black,6
4404,误解,wù jiě,"misunderstanding, to misunderstand",6
4405,无精打采,wú jīng dǎ cǎi,"dispirited, listless, in low spirits",6
4406,无可奉告,wú kě fèng gào,no comment,6
4407,无可奈何,wú kě nài hé,to have no alternative,6
4408,无赖,wú lài,"rascal, hoodlum, hooligan",6
4409,无理取闹,wú lǐ qǔ nào,"to make trouble without reason, to be deliberately awkward",6
4410,物美价廉,wù měi jià lián,cheap and fine,6
4411,污蔑,wū miè,"to slander, to defile",6
4412,无能为力,wú néng wéi lì,"powerless, helpless",6
4413,无穷无尽,wú qióng wú jìn,"endless, boundless",6
4414,侮辱,wǔ rǔ,"to insult, to humiliate, to dishonor",6
4415,务实,wù shí,pragmatic,6
4416,无微不至,wú wēi bú zhì,meticulously,6
4417,武侠,wǔ xiá,martial arts chivalry (Chinese genre),6
4418,诬陷,wū xiàn,to plant false evidence against sbd.,6
4419,无忧无虑,wú yōu wú lǜ,carefree and without worries,6
4420,无知,wú zhī,"ignorance, ignorant, innocent",6
4421,武装,wǔ zhuāng,"military, arms, equipment, to arm, to equip",6
4422,物资,wù zī,goods and materials,6
4423,溪,xī,"small stream, small river",6
4424,细胞,xì bāo,cell (biology),6
4425,媳妇,xí fu,"wife, daughter-in-law",6
4426,膝盖,xī gài,knee,6
4427,袭击,xí jī,"surprise attack, to attack by surprise, to raid",6
4428,细菌,xì jūn,"bacterium, germ",6
4429,系列,xì liè,series,6
4430,熄灭,xī miè,"to go out, to die out, to stop burning",6
4431,吸取,xī qǔ,"to absorb, to assimilate",6
4432,昔日,xī rì,"formerly, in olden days",6
4433,牺牲,xī shēng,"sacrifice, to sacrifice oneself, to lay down one's life",6
4434,习俗,xí sú,"custom, tradition",6
4435,喜闻乐见,xǐ wén lè jiàn,"to love to see and hear, a delight to see",6
4436,夕阳,xī yáng,the setting sun,6
4437,喜悦,xǐ yuè,"joy, delight, happy, joyous",6
4438,细致,xì zhì,"careful, fine, meticulous",6
4439,霞,xiá,evening or morning glow,6
4440,狭隘,xiá ài,"narrow, tight, narrow minded",6
4441,峡谷,xiá gǔ,"canyon, ravine",6
4442,夏令营,xià lìng yíng,summer camp,6
4443,下属,xià shǔ,"subordinate, vassal",6
4444,狭窄,xiá zhǎi,"narrow, restricted (knowledge)",6
4445,弦,xián,"bowstring, string, hypotenuse",6
4446,嫌,xián,"suspicion, resentment, to dislike, to mind",6
4447,现场,xiàn chǎng,"scene, site, locale, live, on-the-spot, on-site",6
4448,现成,xiàn chéng,"ready-made, readily available",6
4449,宪法,xiàn fǎ,constitution (law),6
4450,陷害,xiàn hài,to frame up,6
4451,闲话,xián huà,"gossip, digression",6
4452,贤惠,xián huì,"chaste, virtuous (woman)",6
4453,衔接,xián jiē,"to join together, to combine",6
4454,先进,xiān jìn,"advanced, developed",6
4455,鲜明,xiān míng,"clear-cut, distinct, colourful",6
4456,掀起,xiān qǐ,"to lift, to begin, to set off",6
4457,先前,xiān qián,"before, previously",6
4458,馅儿,xiàn r,filling,6
4459,陷入,xiàn rù,"to get caught up in, to sink into",6
4460,线索,xiàn suǒ,"clue, hint, trail",6
4461,纤维,xiān wéi,fiber,6
4462,嫌疑,xián yí,suspicion,6
4463,显著,xiǎn zhù,"notable, outstanding, remarkable",6
4464,现状,xiàn zhuàng,"current situation, status quo",6
4465,巷,xiàng,"lane, alley",6
4466,相差,xiāng chà,to differ,6
4467,向导,xiàng dǎo,guide,6
4468,相等,xiāng děng,"to be equal, equal",6
4469,想方设法,xiǎng fāng shè fǎ,to do everything possible,6
4470,相辅相成,xiāng fǔ xiāng chéng,to complement each other,6
4471,向来,xiàng lái,"always, all along",6
4472,响亮,xiǎng liàng,"loud and clear, resounding",6
4473,镶嵌,xiāng qiàn,"mosaic, to inlay, to embed, to set",6
4474,向往,xiàng wǎng,"to yearn for, to look forward to",6
4475,相应,xiāng yìng,"to correspond, corresponding, appropriate, relevant",6
4476,响应,xiǎng yìng,"to answer, to respond to",6
4477,乡镇,xiāng zhèn,"village, township",6
4478,消除,xiāo chú,"to eliminate, to remove",6
4479,消毒,xiāo dú,"disinfection, sterilization, to disinfect, to sterilize",6
4480,消防,xiāo fáng,"fire control, fire fighting",6
4481,消耗,xiāo hào,"consumption, to use up, to consume",6
4482,销毁,xiāo huǐ,to destry (by melting or burning),6
4483,消极,xiāo jí,"negative, passive, inactive",6
4484,肖像,xiào xiàng,portrait,6
4485,小心翼翼,xiǎo xīn yì yì,"very careful, prudent, deliberate",6
4486,效益,xiào yì,benefit,6
4487,屑,xiè,"crumbs, filings, to be worth it",6
4488,携带,xié dài,"to carry, to take along",6
4489,协会,xié huì,"association, union, society",6
4490,谢绝,xiè jué,to refuse politely,6
4491,泄露,xiè lòu,"to leak (information), to let out",6
4492,泄气,xiè qì,"to feel discouraged, to lose heart, to be frustrated",6
4493,协商,xié shāng,"to consult with, to talk things over, to negotiate about",6
4494,协议,xié yì,"agreement, pact",6
4495,协助,xié zhù,"to assist, to help, to aid",6
4496,写作,xiě zuò,"writing, to write, to compose",6
4497,新陈代谢,xīn chén dài xiè,metabolism,6
4498,心得,xīn dé,"gained knowledge, what one has learned",6
4499,信赖,xìn lài,"to trust, to rely on",6
4500,新郎,xīn láng,bridegroom,6
4501,心灵,xīn líng,"heart, soul, spirit, bright, smart",6
4502,信念,xìn niàn,"faith, belief, conviction",6
4503,新娘,xīn niáng,bride,6
4504,辛勤,xīn qín,"industrious, hardworking, diligent",6
4505,薪水,xīn shuǐ,"salary, wage",6
4506,心态,xīn tài,"attitude, way of thinking, mentality",6
4507,心疼,xīn téng,"to love dearly, to feel distressed, to feel sorry",6
4508,欣慰,xīn wèi,to be gratified,6
4509,欣欣向荣,xīn xīn xiàng róng,"flourishing, thriving",6
4510,心血,xīn xuè,"painstaking effort, heart's blood",6
4511,心眼儿,xīn yǎn r,"mind, intention, cleverness",6
4512,信仰,xìn yǎng,"belief, conviction, faith, to believe in",6
4513,新颖,xīn yǐng,"new, original",6
4514,信誉,xìn yù,"prestige, reputation, standing",6
4515,腥,xīng,fishy (smell),6
4516,性感,xìng gǎn,"sex appeal, sexy",6
4517,兴高采烈,xìng gāo cǎi liè,"to be happy and excited, to be in high spirits",6
4518,幸好,xìng hǎo,fortunately,6
4519,兴隆,xīng lóng,"prosperous, thriving",6
4520,性命,xìng mìng,life,6
4521,性能,xìng néng,"function, capability, performance",6
4522,性情,xìng qíng,"nature, temperament",6
4523,刑事,xíng shì,"criminal, penal",6
4524,形态,xíng tài,"shape, form, pattern",6
4525,兴旺,xīng wàng,"proserous, thriving",6
4526,行政,xíng zhèng,administration,6
4527,兴致勃勃,xìng zhì bó bó,to be in high spirits,6
4528,凶恶,xiōng è,"fierce, evil, wicked",6
4529,雄厚,xióng hòu,"rich, abundant, solid",6
4530,胸怀,xiōng huái,"heart, mind, breadth of vision",6
4531,凶手,xiōng shǒu,"murderer, assassin",6
4532,胸膛,xiōng táng,"chest, thorax",6
4533,绣,xiù,to emroider,6
4534,羞耻,xiū chǐ,ashamed,6
4535,修复,xiū fù,"restoration, to repair, to restore",6
4536,修建,xiū jiàn,"to build, to construct",6
4537,嗅觉,xiù jué,sense of smell,6
4538,修理,xiū lǐ,"to repair, to fix",6
4539,修养,xiū yǎng,"training, self-cultivation, good manners",6
4540,虚假,xū jiǎ,"false, sham, dishonest",6
4541,酗酒,xù jiǔ,"excessive drinking, alcohol abuse",6
4542,许可,xǔ kě,"permission, to allow, to permit",6
4543,畜牧,xù mù,animal husbandry,6
4544,需求,xū qiú,"requirement, demand",6
4545,虚荣,xū róng,vanity,6
4546,虚伪,xū wěi,hypocritical,6
4547,序言,xù yán,"preface, prologue",6
4548,须知,xū zhī,"notice, information",6
4549,选拔,xuǎn bá,"to choose, to select",6
4550,悬挂,xuán guà,"to hang, to suspend",6
4551,旋律,xuán lǜ,"rhythm, melody",6
4552,悬念,xuán niàn,"suspense (movie, play, etc.), concern",6
4553,宣誓,xuān shì,"to swear an oath, to make a vow",6
4554,选手,xuǎn shǒu,"athlete, player",6
4555,悬崖峭壁,xuán yá qiào bì,cliffside,6
4556,宣扬,xuān yáng,"to publicize, to propagate, to make well known",6
4557,旋转,xuán zhuǎn,"to rotate, to spin",6
4558,学历,xué lì,educational background,6
4559,削弱,xuē ruò,to weaken,6
4560,雪上加霜,xuě shàng jiā shuāng,to add frost to snow,6
4561,学说,xué shuō,"theory, doctrine",6
4562,学位,xué wèi,academic degree,6
4563,血压,xuè yā,blood pressure,6
4564,循环,xún huán,"circle, loop, to cycle, to circulate",6
4565,巡逻,xún luó,to patrol,6
4566,寻觅,xún mì,to look for,6
4567,熏陶,xūn táo,"to nurture, to influence positively",6
4568,循序渐进,xún xù jiàn jìn,step by step,6
4569,押金,yā jīn,"deposit, down payment",6
4570,亚军,yà jūn,"runner-up, second place",6
4571,压迫,yā pò,"to oppress, to repress",6
4572,压岁钱,yā suì qián,money given to children during Spring Festival,6
4573,压缩,yā suō,"compression, to compress, to squeeze, to reduce",6
4574,压抑,yā yì,"to constrain, to oppress, oppressive, stifling, depressing",6
4575,压榨,yā zhà,"to press, to squeeze, to extract juice by squeezing",6
4576,压制,yā zhì,"to suppress, to inhibit, to stifle",6
4577,演变,yǎn biàn,"to evolve, to develop",6
4578,掩盖,yǎn gài,"to conceal, to cover up, to hide",6
4579,眼光,yǎn guāng,"vision, foresight",6
4580,沿海,yán hǎi,"coastal, along the coast",6
4581,严寒,yán hán,"freezing, very cold",6
4582,掩护,yǎn hù,"protection, cover, to screen, to shield, to cover",6
4583,烟花爆竹,yān huā bào zhú,fireworks and crackers,6
4584,演讲,yǎn jiǎng,"to lecture, to make a speech",6
4585,严禁,yán jìn,to strictly prohibit,6
4586,严峻,yán jùn,"serious, grim severe",6
4587,严厉,yán lì,"strict, severe",6
4588,言论,yán lùn,"speech, expression of opinion",6
4589,严密,yán mì,"strict, tight, rigorous",6
4590,淹没,yān mò,"to submerge, to drown, to flood out",6
4591,延期,yán qī,"to delay, to postpone, to defer",6
4592,炎热,yán rè,"burning hot, blistering hot",6
4593,眼色,yǎn sè,"wink, meaningful glance",6
4594,延伸,yán shēn,"to extend, to stretch, to spread",6
4595,眼神,yǎn shén,"expression in eyes, eyesight",6
4596,岩石,yán shí,rock,6
4597,掩饰,yǎn shì,"to conceal, to cover up",6
4598,验收,yàn shōu,"to verify and accept, to check on receipt",6
4599,厌恶,yàn wù,"to hate, to detest, to loath",6
4600,演习,yǎn xí,"exercise, practice, maneuver",6
4601,眼下,yǎn xià,"now, at present",6
4602,延续,yán xù,"to continue, to last",6
4603,演绎,yǎn yì,"to deduce, to infer",6
4604,验证,yàn zhèng,to test and verify,6
4605,演奏,yǎn zòu,"to perform music, to play (music)",6
4606,样品,yàng pǐn,"sample, specimen",6
4607,氧气,yǎng qì,oxygen,6
4608,摇摆,yáo bǎi,"to sway, to swing",6
4609,要不然,yào bu rán,otherwise,6
4610,要点,yào diǎn,"main point, essential",6
4611,摇滚,yáo gǔn,Rock ’n’ Roll,6
4612,摇晃,yáo huàng,"to rock, to shake, to sway",6
4613,遥控,yáo kòng,remote control,6
4614,要命,yào mìng,"extremely, serious",6
4615,要素,yào sù,"essential factor, key element",6
4616,咬牙切齿,yǎo yá qiè chǐ,to grind one's teeth in anger,6
4617,谣言,yáo yán,rumor,6
4618,耀眼,yào yǎn,"dazzling, glaring",6
4619,遥远,yáo yuǎn,"faraway, remote, distant",6
4620,野蛮,yě mán,"barbarous, uncivilized, wild",6
4621,野心,yě xīn,ambition,6
4622,亦,yì,also,6
4623,翼,yì,"wing, flank, to assist; to help (an emperor)",6
4624,以便,yǐ biàn,"so that, in order to",6
4625,遗产,yí chǎn,"heritage, legacy",6
4626,异常,yì cháng,"exceptional, unusual, abnormal",6
4627,遗传,yí chuán,"heredity, inheritance, to inherit, to transmit",6
4628,依次,yī cì,"in turn, in proper order",6
4629,一度,yí dù,"once, for some time",6
4630,一帆风顺,yì fān fēng shùn,smooth,6
4631,一贯,yí guàn,"consistent, constant, all along",6
4632,疑惑,yí huò,"doubt, to doubt",6
4633,依旧,yī jiù,"as before, still like before",6
4634,依据,yī jù,"basis, grounds, according to, based on",6
4635,一举两得,yì jǔ liǎng dé,hit two birds with one stone,6
4636,依靠,yī kào,"backing, support, to rely on, to depend on",6
4637,依赖,yī lài,"to depend on, to be dependent on",6
4638,毅力,yì lì,"perseverance, willpower",6
4639,意料,yì liào,"anticipation, expectation, to anticipate, to expect",6
4640,一流,yī liú,"best, top quality",6
